Product Trade Name,Technical Name,Main Category,Sub Category,Product Type,500g/ml Rate (INR),1kg/L Rate (INR),5kg/L Rate (INR),10kg/L Rate (INR),25kg/L Rate (INR),SEO Optimized Detailed Description,Benefits,Suitable Crops,Application Method,Dosage Per 200L Water,Keywords/Tags,Shopify Handle,Recommendation Tags
FishAmino Plus,Fish amino acid liquid,Organic Inputs,Fish Amino Acid,liquid,370,638,2648,4945,10974,"FishAmino Plus is a professionally formulated Fish amino acid liquid agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Fish Amino Acid for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under heat. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Fish Amino Acid, Fish amino acid liquid, soil health, bio stimulant, Morbeez",fishamino-plus,"organic_input, fish_amino_acid"
OrganicCarbon 18,Organic carbon liquid,Organic Inputs,Organic Carbon,liquid,295,508,2108,3937,8738,"OrganicCarbon 18 is a professionally formulated Organic carbon liquid agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Organic Carbon for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under salinity. Farmers use OrganicCarbon 18 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Farmers use OrganicCarbon 18 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Organic Carbon, Organic carbon liquid, soil health, bio stimulant, Morbeez",organiccarbon-18,"organic_input, organic_carbon"
Panchagavya Pro,Fermented organic blend,Organic Inputs,Panchagavya,liquid,329,568,2357,4402,9770,"Panchagavya Pro is a professionally formulated Fermented organic blend agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Panchagavya for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Panchagavya, Fermented organic blend, soil health, bio stimulant, Morbeez",panchagavya-pro,"organic_input, panchagavya"
VermiGold Compost,Processed vermicompost,Organic Inputs,Vermicompost,granular,159,274,1138,2125,4716,"VermiGold Compost is a professionally formulated Processed vermicompost agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Vermicompost for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",500–1000 kg/acre (compost); 100–250 kg/acre (granules),"organic fertilizer, Vermicompost, Processed vermicompost, soil health, bio stimulant, Morbeez",vermigold-compost,"organic_input, vermicompost"
FarmCompost Premium,Decomposed FYM compost,Organic Inputs,Compost,granular,143,247,1023,1911,4241,"FarmCompost Premium is a professionally formulated Decomposed FYM compost agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Compost for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under drought. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Farmers use FarmCompost Premium in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",500–1000 kg/acre (compost); 100–250 kg/acre (granules),"organic fertilizer, Compost, Decomposed FYM compost, soil health, bio stimulant, Morbeez",farmcompost-premium,"organic_input, compost"
BioStim SeaHumic,Seaweed + humic combo,Organic Inputs,Bio stimulants,liquid,364,628,2606,4867,10802,"BioStim SeaHumic is a professionally formulated Seaweed + humic combo agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Bio stimulants for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under heat. Farmers use BioStim SeaHumic in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Bio stimulants, Seaweed + humic combo, soil health, bio stimulant, Morbeez",biostim-seahumic,"organic_input, bio_stimulants"
StressRelief Organic,Organic stress reliever,Organic Inputs,Bio stimulants,liquid,341,588,2440,4557,10114,"StressRelief Organic is a professionally formulated Organic stress reliever agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Bio stimulants for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under salinity. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Bio stimulants, Organic stress reliever, soil health, bio stimulant, Morbeez",stressrelief-organic,"organic_input, bio_stimulants"
RootStim Organic,Root biostimulant organic,Organic Inputs,Bio stimulants,liquid,347,598,2482,4635,10286,"RootStim Organic is a professionally formulated Root biostimulant organic agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Bio stimulants for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Farmers use RootStim Organic in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Bio stimulants, Root biostimulant organic, soil health, bio stimulant, Morbeez",rootstim-organic,"organic_input, bio_stimulants"
BloomOrganic Boost,Flowering organic stimulant,Organic Inputs,Bio stimulants,liquid,353,608,2523,4712,10458,"BloomOrganic Boost is a professionally formulated Flowering organic stimulant agriculture input designed for Indian field, vegetable, and plantation production systems. This organic inputs supports Bio stimulants for soil fertility and crop metabolism while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","improves soil health, enhances nutrient absorption, supports crop vigor, organic farming suitable, stress recovery support, residue conscious programs","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","soil application, drip irrigation, foliar spray, fertigation",400–800 ml per 200 L water; drip 2–3 L/acre,"organic fertilizer, Bio stimulants, Flowering organic stimulant, soil health, bio stimulant, Morbeez",bloomorganic-boost,"organic_input, bio_stimulants"
HydroNPK 19-19-19,NPK 19-19-19,Water Soluble Fertilizers,Balanced NPK,powder,331,570,2366,4419,9808,"HydroNPK 19-19-19 is a professionally formulated NPK 19-19-19 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 19-19-19 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under drought. Farmers use HydroNPK 19-19-19 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 19-19-19, fertigation, drip fertilizer, foliar NPK, Morbeez",hydronpk-19-19-19,"wsf, npk_19_19_19"
HydroNPK 13-40-13,NPK 13-40-13,Water Soluble Fertilizers,High P-K,powder,356,614,2549,4760,10565,"HydroNPK 13-40-13 is a professionally formulated NPK 13-40-13 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 13-40-13 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under heat. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Farmers use HydroNPK 13-40-13 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 13-40-13, fertigation, drip fertilizer, foliar NPK, Morbeez",hydronpk-13-40-13,"wsf, npk_13_40_13"
HydroNPK 00-52-34,NPK 00-52-34,Water Soluble Fertilizers,High P-K,powder,366,632,2622,4897,10868,"HydroNPK 00-52-34 is a professionally formulated NPK 00-52-34 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 00-52-34 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under salinity. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 00-52-34, fertigation, drip fertilizer, foliar NPK, Morbeez",hydronpk-00-52-34,"wsf, npk_00_52_34"
HydroNPK 12-61-00,NPK 12-61-00,Water Soluble Fertilizers,High P,powder,351,605,2513,4692,10414,"HydroNPK 12-61-00 is a professionally formulated NPK 12-61-00 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 12-61-00 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 12-61-00, fertigation, drip fertilizer, foliar NPK, Morbeez",hydronpk-12-61-00,"wsf, npk_12_61_00"
HydroNPK 00-00-50,NPK 00-00-50,Water Soluble Fertilizers,High K,powder,346,597,2476,4624,10262,"HydroNPK 00-00-50 is a professionally formulated NPK 00-00-50 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 00-00-50 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Farmers use HydroNPK 00-00-50 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Farmers use HydroNPK 00-00-50 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 00-00-50, fertigation, drip fertilizer, foliar NPK, Morbeez",hydronpk-00-00-50,"wsf, npk_00_00_50"
HydroNPK 13-0-45,NPK 13-0-45,Water Soluble Fertilizers,High K,powder,361,623,2586,4829,10716,"HydroNPK 13-0-45 is a professionally formulated NPK 13-0-45 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 13-0-45 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under drought. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 13-0-45, fertigation, drip fertilizer, foliar NPK, Morbeez",hydronpk-13-0-45,"wsf, npk_13_0_45"
CalciumNitrate WS,Calcium nitrate 15.5-0-0,Water Soluble Fertilizers,Calcium Nitrate,powder,341,588,2440,4556,10111,"CalciumNitrate WS is a professionally formulated Calcium nitrate 15.5-0-0 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 15.5-0-0 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under heat. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 15.5-0-0, fertigation, drip fertilizer, foliar NPK, Morbeez",calciumnitrate-ws,"wsf, npk_15.5_0_0"
PotassiumNitrate WS,Potassium nitrate 13-0-45,Water Soluble Fertilizers,Potassium Nitrate,powder,372,641,2659,4965,11019,"PotassiumNitrate WS is a professionally formulated Potassium nitrate 13-0-45 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 13-0-45 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under salinity. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Farmers use PotassiumNitrate WS in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 13-0-45, fertigation, drip fertilizer, foliar NPK, Morbeez",potassiumnitrate-ws,"wsf, npk_13_0_45"
MagnesiumSulphate WS,Magnesium sulphate 9.6% Mg,Water Soluble Fertilizers,Magnesium Sulphate,powder,315,544,2257,4215,9354,"MagnesiumSulphate WS is a professionally formulated Magnesium sulphate 9.6% Mg agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision Mg 9.6% nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Farmers use MagnesiumSulphate WS in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK Mg 9.6%, fertigation, drip fertilizer, foliar NPK, Morbeez",magnesiumsulphate-ws,"wsf, npk_Mg 9.6%"
MAP WS Grade,Mono ammonium phosphate,Water Soluble Fertilizers,MAP,powder,356,614,2549,4760,10565,"MAP WS Grade is a professionally formulated Mono ammonium phosphate agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 12-61-0 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 12-61-0, fertigation, drip fertilizer, foliar NPK, Morbeez",map-ws-grade,"wsf, npk_12_61_0"
MKP WS Grade,Mono potassium phosphate 0-52-34,Water Soluble Fertilizers,MKP,powder,387,667,2768,5170,11473,"MKP WS Grade is a professionally formulated Mono potassium phosphate 0-52-34 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 0-52-34 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under drought. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Farmers use MKP WS Grade in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 0-52-34, fertigation, drip fertilizer, foliar NPK, Morbeez",mkp-ws-grade,"wsf, npk_0_52_34"
SOP WS Grade,Potassium sulphate 0-0-50,Water Soluble Fertilizers,SOP,powder,351,605,2513,4692,10414,"SOP WS Grade is a professionally formulated Potassium sulphate 0-0-50 agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 0-0-50 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under heat. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 0-0-50, fertigation, drip fertilizer, foliar NPK, Morbeez",sop-ws-grade,"wsf, npk_0_0_50"
BloomNPK 10-52-10,NPK flowering grade,Water Soluble Fertilizers,Balanced NPK,powder,361,623,2586,4829,10716,"BloomNPK 10-52-10 is a professionally formulated NPK flowering grade agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 10-52-10 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under salinity. Farmers use BloomNPK 10-52-10 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 10-52-10, fertigation, drip fertilizer, foliar NPK, Morbeez",bloomnpk-10-52-10,"wsf, npk_10_52_10"
FruitNPK 5-15-45,NPK fruiting grade,Water Soluble Fertilizers,High K,powder,366,632,2622,4897,10868,"FruitNPK 5-15-45 is a professionally formulated NPK fruiting grade agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 5-15-45 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Farmers use FruitNPK 5-15-45 in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 5-15-45, fertigation, drip fertilizer, foliar NPK, Morbeez",fruitnpk-5-15-45,"wsf, npk_5_15_45"
GreenNPK 10-54-10,NPK young crop,Water Soluble Fertilizers,High P,powder,351,605,2513,4692,10414,"GreenNPK 10-54-10 is a professionally formulated NPK young crop agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 10-54-10 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under monsoon stress. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 10-54-10, fertigation, drip fertilizer, foliar NPK, Morbeez",greennpk-10-54-10,"wsf, npk_10_54_10"
DripNPK 24-24-18,NPK drip grade,Water Soluble Fertilizers,Balanced NPK,powder,361,623,2586,4829,10716,"DripNPK 24-24-18 is a professionally formulated NPK drip grade agriculture input designed for Indian field, vegetable, and plantation production systems. This water soluble fertilizers supports precision 24-24-18 nutrition for fertigation and foliar feeding while helping improve root growth, enhance flowering, and increase yield under drought. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.","fully water soluble, rapid nutrient availability, drip and foliar suitable, improves fruit quality, enhances uniform growth, greenhouse compatible","ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato","drip irrigation, fertigation, foliar spray",500 g–1.5 kg per 200 L foliar; 1–3 kg/acre fertigation,"water soluble fertilizer, NPK 24-24-18, fertigation, drip fertilizer, foliar NPK, Morbeez",dripnpk-24-24-18,"wsf, npk_24_24_18"
